[04-Feb-2020 19:13:31 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 21
[04-Feb-2020 19:14:03 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 21
[04-Feb-2020 19:14:18 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 21
[04-Feb-2020 19:17:52 UTC] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[04-Feb-2020 19:19:56 UTC] PHP Notice:  Undefined index: qruser in /var/www/html/Logout/index.php on line 20
[04-Feb-2020 19:25:34 UTC] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[04-Feb-2020 19:25:56 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 21
[04-Feb-2020 19:26:19 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 21
[04-Feb-2020 19:27:46 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 21
[04-Feb-2020 19:27:58 UTC] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 21
[04-Feb-2020 19:32:30 UTC] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[04-Feb-2020 20:44:36 Europe/Rome] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 21
[04-Feb-2020 20:59:02 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/gestione/controllo_accessi/index.php on line 126
[04-Feb-2020 21:05:23 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/gestione/controllo_accessi/index.php on line 126
[04-Feb-2020 21:32:20 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/gestione/controllo_accessi/index.php on line 126
[04-Feb-2020 21:36:41 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/gestione/controllo_accessi/index.php on line 126
[04-Feb-2020 21:37:33 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/gestione/controllo_accessi/index.php on line 126
[04-Feb-2020 21:37:41 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/gestione/controllo_accessi/index.php on line 126
[04-Feb-2020 21:48:39 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/gestione/controllo_accessi/index.php on line 126
[04-Feb-2020 21:48:55 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/gestione/controllo_accessi/index.php on line 126
[05-Feb-2020 07:53:06 Europe/Berlin] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[05-Feb-2020 13:01:27 Europe/Berlin] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[05-Feb-2020 13:05:27 Europe/Berlin] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[05-Feb-2020 17:31:26 Europe/Berlin] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[05-Feb-2020 18:31:58 Europe/Berlin] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[05-Feb-2020 18:38:13 Europe/Rome] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 21
[05-Feb-2020 19:56:57 Europe/Berlin] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[05-Feb-2020 19:57:03 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/gestione/controllo_accessi/index.php on line 126
[05-Feb-2020 20:05:58 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/gestione/controllo_accessi/index.php on line 126
[05-Feb-2020 21:10:10 Europe/Berlin] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[05-Feb-2020 21:58:38 Europe/Rome] PHP Notice:  Undefined index: qruser in /var/www/html/Logout/index.php on line 20
[06-Feb-2020 10:18:01 Europe/Berlin] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[06-Feb-2020 10:18:57 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/gestione/controllo_accessi/index.php on line 126
[06-Feb-2020 10:31:36 Europe/Berlin] PHP Deprecated:  Non-static method Logger::getLog() should not be called statically in /var/www/html/logger.php on line 18
[06-Feb-2020 10:31:36 Europe/Berlin] PHP Deprecated:  Non-static method Logger::save() should not be called statically in /var/www/html/logger.php on line 23
[06-Feb-2020 10:33:26 Europe/Berlin] PHP Deprecated:  Non-static method Logger::getLog() should not be called statically in /var/www/html/logger.php on line 18
[06-Feb-2020 10:33:26 Europe/Berlin] PHP Deprecated:  Non-static method Logger::save() should not be called statically in /var/www/html/logger.php on line 23
[06-Feb-2020 10:36:39 Europe/Berlin] PHP Deprecated:  Non-static method Logger::getLog() should not be called statically in /var/www/html/logger.php on line 18
[06-Feb-2020 10:36:39 Europe/Berlin] PHP Deprecated:  Non-static method Logger::save() should not be called statically in /var/www/html/logger.php on line 23
[06-Feb-2020 10:39:46 Europe/Berlin] PHP Deprecated:  Non-static method Logger::getLog() should not be called statically in /var/www/html/logger.php on line 18
[06-Feb-2020 10:39:46 Europe/Berlin] PHP Deprecated:  Non-static method Logger::save() should not be called statically in /var/www/html/logger.php on line 23
[06-Feb-2020 10:51:27 Europe/Berlin] PHP Deprecated:  Non-static method Logger::getLog() should not be called statically in /var/www/html/logger.php on line 18
[06-Feb-2020 10:51:27 Europe/Berlin] PHP Deprecated:  Non-static method Logger::save() should not be called statically in /var/www/html/logger.php on line 23
[06-Feb-2020 11:43:32 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/gestione/controllo_accessi/index.php on line 126
[06-Feb-2020 13:17:00 Europe/Berlin] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[06-Feb-2020 13:18:17 Europe/Berlin] PHP Deprecated:  Non-static method Logger::getLog() should not be called statically in /var/www/html/logger.php on line 18
[06-Feb-2020 13:18:17 Europe/Berlin] PHP Deprecated:  Non-static method Logger::save() should not be called statically in /var/www/html/logger.php on line 23
[06-Feb-2020 13:18:52 Europe/Berlin] PHP Deprecated:  Non-static method Logger::getLog() should not be called statically in /var/www/html/logger.php on line 18
[06-Feb-2020 13:18:52 Europe/Berlin] PHP Deprecated:  Non-static method Logger::save() should not be called statically in /var/www/html/logger.php on line 23
[06-Feb-2020 13:39:09 Europe/Berlin] PHP Deprecated:  Non-static method Logger::getLog() should not be called statically in /var/www/html/logger.php on line 18
[06-Feb-2020 13:39:09 Europe/Berlin] PHP Deprecated:  Non-static method Logger::save() should not be called statically in /var/www/html/logger.php on line 23
[06-Feb-2020 13:42:40 Europe/Berlin] PHP Deprecated:  Non-static method Logger::getLog() should not be called statically in /var/www/html/logger.php on line 18
[06-Feb-2020 13:42:40 Europe/Berlin] PHP Deprecated:  Non-static method Logger::save() should not be called statically in /var/www/html/logger.php on line 23
[06-Feb-2020 13:43:24 Europe/Berlin] PHP Deprecated:  Non-static method Logger::getLog() should not be called statically in /var/www/html/logger.php on line 18
[06-Feb-2020 13:43:24 Europe/Berlin] PHP Deprecated:  Non-static method Logger::save() should not be called statically in /var/www/html/logger.php on line 23
[06-Feb-2020 13:44:27 Europe/Berlin] PHP Deprecated:  Non-static method Logger::getLog() should not be called statically in /var/www/html/logger.php on line 18
[06-Feb-2020 13:44:27 Europe/Berlin] PHP Deprecated:  Non-static method Logger::save() should not be called statically in /var/www/html/logger.php on line 23
[06-Feb-2020 13:46:06 Europe/Berlin] PHP Notice:  Undefined index: r1 in /var/www/html/gestione/gestione_domande/action_addQuestion.php on line 11
[06-Feb-2020 13:46:06 Europe/Berlin] PHP Notice:  Undefined index: r2 in /var/www/html/gestione/gestione_domande/action_addQuestion.php on line 12
[06-Feb-2020 13:46:06 Europe/Berlin] PHP Notice:  Undefined index: r3 in /var/www/html/gestione/gestione_domande/action_addQuestion.php on line 13
[06-Feb-2020 13:46:06 Europe/Berlin] PHP Notice:  Undefined index: r4 in /var/www/html/gestione/gestione_domande/action_addQuestion.php on line 14
[06-Feb-2020 13:46:06 Europe/Berlin] PHP Notice:  Undefined index: resatta in /var/www/html/gestione/gestione_domande/action_addQuestion.php on line 15
[06-Feb-2020 13:46:57 Europe/Berlin] PHP Notice:  Undefined variable: die in /var/www/html/gestione/gestione_domande/action_deleteQuestion.php on line 25
[06-Feb-2020 13:46:57 Europe/Berlin] PHP Fatal error:  Uncaught Error: Function name must be a string in /var/www/html/gestione/gestione_domande/action_deleteQuestion.php:25
Stack trace:
#0 {main}
  thrown in /var/www/html/gestione/gestione_domande/action_deleteQuestion.php on line 25
[06-Feb-2020 13:46:59 Europe/Berlin] PHP Warning:  unlink(../../immagini_quiz/): Is a directory in /var/www/html/gestione/gestione_domande/action_deleteQuestion.php on line 17
[06-Feb-2020 13:51:48 Europe/Berlin] PHP Deprecated:  Non-static method Logger::getLog() should not be called statically in /var/www/html/logger.php on line 18
[06-Feb-2020 13:51:48 Europe/Berlin] PHP Deprecated:  Non-static method Logger::save() should not be called statically in /var/www/html/logger.php on line 23
[06-Feb-2020 13:52:07 Europe/Berlin] PHP Deprecated:  Non-static method Logger::getLog() should not be called statically in /var/www/html/logger.php on line 18
[06-Feb-2020 13:52:07 Europe/Berlin] PHP Deprecated:  Non-static method Logger::save() should not be called statically in /var/www/html/logger.php on line 23
[06-Feb-2020 16:51:47 Europe/Berlin] PHP Notice:  Undefined index: qruser in /var/www/html/Logout/index.php on line 20
[06-Feb-2020 16:59:51 Europe/Berlin] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[06-Feb-2020 17:04:33 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/gestione/controllo_accessi/index.php on line 126
[06-Feb-2020 17:05:38 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/gestione/controllo_accessi/index.php on line 126
[06-Feb-2020 17:25:45 Europe/Berlin] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[06-Feb-2020 18:49:07 Europe/Berlin] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[06-Feb-2020 18:50:12 Europe/Berlin] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 21
[06-Feb-2020 18:50:12 Europe/Berlin] PHP Warning:  fopen(../../log.json): failed to open stream: Permission denied in /var/www/html/logger.php on line 28
[06-Feb-2020 18:50:12 Europe/Berlin] PHP Warning:  fwrite() expects parameter 1 to be resource, bool given in /var/www/html/logger.php on line 30
[06-Feb-2020 18:50:12 Europe/Berlin] PHP Warning:  fclose() expects parameter 1 to be resource, bool given in /var/www/html/logger.php on line 31
[08-Feb-2020 08:32:47 Europe/Berlin] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[08-Feb-2020 08:33:47 Europe/Berlin] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[08-Feb-2020 08:39:17 Europe/Berlin] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 21
[08-Feb-2020 08:39:17 Europe/Berlin] PHP Warning:  fopen(../../log.json): failed to open stream: Permission denied in /var/www/html/logger.php on line 28
[08-Feb-2020 08:39:17 Europe/Berlin] PHP Warning:  fwrite() expects parameter 1 to be resource, bool given in /var/www/html/logger.php on line 30
[08-Feb-2020 08:39:17 Europe/Berlin] PHP Warning:  fclose() expects parameter 1 to be resource, bool given in /var/www/html/logger.php on line 31
[08-Feb-2020 08:39:41 Europe/Berlin] PHP Warning:  array_unshift() expects parameter 1 to be array, null given in /var/www/html/logger.php on line 21
[08-Feb-2020 08:39:41 Europe/Berlin] PHP Warning:  fopen(../../log.json): failed to open stream: Permission denied in /var/www/html/logger.php on line 28
[08-Feb-2020 08:39:41 Europe/Berlin] PHP Warning:  fwrite() expects parameter 1 to be resource, bool given in /var/www/html/logger.php on line 30
[08-Feb-2020 08:39:41 Europe/Berlin] PHP Warning:  fclose() expects parameter 1 to be resource, bool given in /var/www/html/logger.php on line 31
[08-Feb-2020 08:40:23 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/gestione/controllo_accessi/index.php on line 126
[08-Feb-2020 09:03:28 Europe/Berlin] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[08-Feb-2020 09:28:42 Europe/Berlin] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[08-Feb-2020 09:33:55 Europe/Berlin] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[08-Feb-2020 09:35:15 Europe/Berlin] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[08-Feb-2020 09:37:40 Europe/Berlin] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[08-Feb-2020 09:39:39 Europe/Berlin] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[08-Feb-2020 09:40:29 Europe/Berlin] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[08-Feb-2020 09:44:03 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/gestione/controllo_accessi/index.php on line 126
[08-Feb-2020 09:45:41 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/gestione/controllo_accessi/index.php on line 126
[08-Feb-2020 09:46:33 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/gestione/controllo_accessi/index.php on line 126
[08-Feb-2020 09:46:56 Europe/Berlin] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/html/gestione/controllo_accessi/index.php on line 126
[08-Feb-2020 09:50:13 Europe/Berlin] PHP Notice:  Undefined index: fileToUpload in /var/www/html/gestione/gestione_domande/action_editQuestion.php on line 64
[08-Feb-2020 09:50:13 Europe/Berlin] PHP Warning:  mysqli_error() expects exactly 1 parameter, 0 given in /var/www/html/gestione/gestione_domande/action_editQuestion.php on line 85
[08-Feb-2020 09:50:13 Europe/Berlin] PHP Warning:  mysqli_error() expects exactly 1 parameter, 0 given in /var/www/html/gestione/gestione_domande/action_editQuestion.php on line 86
[08-Feb-2020 09:50:36 Europe/Berlin] PHP Warning:  unlink(../../immagini_quiz/gantt.png): No such file or directory in /var/www/html/gestione/gestione_domande/action_deleteQuestion.php on line 17
[08-Feb-2020 09:52:26 Europe/Berlin] PHP Warning:  unlink(../../immagini_quiz/gantt.png): No such file or directory in /var/www/html/gestione/gestione_domande/action_deleteQuestion.php on line 17
[08-Feb-2020 09:52:35 Europe/Berlin] PHP Warning:  unlink(../../immagini_quiz/gantt.png): No such file or directory in /var/www/html/gestione/gestione_domande/action_deleteQuestion.php on line 17
[08-Feb-2020 09:52:45 Europe/Berlin] PHP Warning:  unlink(../../immagini_quiz/Relazione progetto 2.png): No such file or directory in /var/www/html/gestione/gestione_domande/action_deleteQuestion.php on line 17
[08-Feb-2020 09:52:48 Europe/Berlin] PHP Notice:  Undefined variable: mypass in /var/www/html/login/verifica/invio_email.php on line 28
[08-Feb-2020 09:52:51 Europe/Berlin] PHP Warning:  unlink(../../immagini_quiz/Schermata 2020-02-06 alle 10.28.14.png): No such file or directory in /var/www/html/gestione/gestione_domande/action_deleteQuestion.php on line 17
